78,80,91,84,83,741,94,710,86,19,18,108,97
78,80,91,84,94,710,86,85,22,636,21,108,97
78,90,92,104,297,298,389,699,736,106,214,390,107,97
78,80,91,84,83,741,87,85,22,636,21,96,97
78,80,91,104,93,737,105,709,710,86,19,18,108,97
78,80,79,81,91,84,93,737,105,20,18,108,97
78,77,79,80,91,84,94,710,709,105,20,18,108,97
78,80,91,84,93,737,105,20,95,86,19,18,108,97
78,80,91,84,93,737,699,736,106,214,18,108,97
78,80,91,84,93,561,389,699,736,106,214,18,108,97
78,80,92,104,93,84,94,710,86,19,21,96,97
78,80,92,104,93,737,105,20,18,19,21,96,97
78,90,92,104,297,298,389,699,736,106,214,390,108,97
78,80,91,84,93,737,105,20,18,108,390,107,97
78,80,79,81,83,84,94,710,86,95,20,18,108,97
78,80,91,84,93,737,105,20,106,214,390,107,97
78,80,91,84,93,737,105,709,710,86,19,21,96,97
78,80,79,81,83,741,94,710,86,19,21,108,97
78,80,91,81,83,84,94,710,86,95,20,18,108,97
78,80,79,81,83,741,87,85,86,95,20,18,108,97
78,77,79,81,91,84,94,710,709,105,20,18,108,97
78,80,91,84,93,737,105,20,18,214,390,107,97
78,90,92,104,297,298,389,561,93,737,105,20,18,108,97
78,80,91,81,83,741,94,710,86,19,21,108,97
78,80,91,81,83,741,87,85,86,95,20,18,108,97
78,80,91,84,93,561,389,699,737,105,20,18,108,97
78,80,91,84,93,737,105,20,106,214,390,108,97
78,80,91,84,93,737,699,736,106,20,18,108,97
78,80,91,84,93,561,389,699,736,106,20,18,108,97
78,80,91,84,83,741,87,85,22,636,21,108,97
78,80,79,81,83,741,94,710,86,19,18,108,97
78,80,91,84,93,737,699,736,106,214,390,107,97
78,80,91,84,93,561,389,699,736,106,214,390,107,97
78,80,91,84,94,710,86,19,22,636,21,96,97
78,80,91,84,93,737,105,20,18,214,390,108,97
78,80,79,81,83,741,87,85,22,636,21,96,97
78,80,91,81,83,741,94,710,86,19,18,108,97
78,80,92,104,93,737,105,20,95,86,19,21,96,97
78,80,92,104,93,84,94,710,86,19,21,108,97
78,80,92,104,93,737,105,20,18,19,21,108,97
78,80,91,81,83,741,87,85,22,636,21,96,97
78,80,91,84,93,737,699,736,106,214,390,108,97
78,80,91,84,93,561,389,699,736,106,214,390,108,97
78,80,91,84,83,741,94,710,86,95,20,18,108,97
78,80,91,84,93,737,105,709,710,86,19,21,108,97
78,80,91,104,93,737,105,709,710,86,95,20,18,108,97
78,80,92,104,93,84,94,710,86,19,18,108,97
78,90,92,104,93,84,94,710,709,105,20,18,108,97
78,80,91,84,93,737,105,709,710,86,19,18,108,97
78,80,92,103,297,298,389,699,736,106,214,18,108,97
78,80,79,81,83,84,93,737,105,20,18,108,97
78,80,91,84,94,710,86,19,22,636,21,108,97
78,80,79,81,83,741,87,85,22,636,21,108,97
78,80,92,104,93,737,105,20,106,214,18,108,97
78,80,92,104,93,737,105,20,95,86,19,21,108,97
78,80,91,81,83,84,93,737,105,20,18,108,97
78,80,92,104,91,84,94,710,86,19,21,96,97
78,80,91,81,83,741,87,85,22,636,21,108,97
78,80,92,103,297,298,389,699,737,105,20,18,108,97
78,80,92,104,93,737,105,20,95,86,19,18,108,97
78,80,79,81,83,741,94,710,86,95,20,18,108,97
78,80,92,103,297,298,389,699,736,106,20,18,108,97
78,77,79,81,83,84,94,710,709,105,20,18,108,97
78,80,92,104,93,737,699,736,106,214,18,108,97
78,80,92,104,93,561,389,699,736,106,214,18,108,97
78,80,91,84,94,710,709,105,20,18,108,21,96,97
78,80,92,103,297,298,389,699,736,106,214,390,107,97
78,80,91,81,83,741,94,710,86,95,20,18,108,97
78,80,92,104,93,737,105,20,18,108,390,107,97
78,80,92,104,93,737,105,20,106,214,390,107,97
78,80,92,104,93,737,105,709,710,86,19,21,96,97
78,80,92,103,297,298,389,699,736,106,214,390,108,97
78,80,92,104,91,84,94,710,86,19,21,108,97
78,80,92,104,93,737,105,20,18,214,390,107,97
78,80,92,104,93,84,94,710,86,95,20,18,108,97
78,80,92,104,93,561,389,699,737,105,20,18,108,97
78,80,92,104,93,737,105,20,106,214,390,108,97
78,80,92,104,93,737,699,736,106,20,18,108,97
78,80,92,104,93,561,389,699,736,106,20,18,108,97
78,80,92,104,93,737,699,736,106,214,390,107,97
78,80,92,104,93,561,389,699,736,106,214,390,107,97
78,80,92,103,297,298,389,561,93,737,105,20,18,108,97
78,80,92,104,93,737,105,20,18,214,390,108,97
78,80,91,84,93,737,105,709,710,86,95,20,18,108,97
78,80,92,104,91,84,94,710,86,19,18,108,97
78,90,92,104,91,84,94,710,709,105,20,18,108,97
78,80,92,104,93,737,699,736,106,214,390,108,97
78,80,92,104,93,561,389,699,736,106,214,390,108,97
78,80,92,104,93,737,105,709,710,86,19,21,108,97
78,80,91,104,297,298,389,699,736,106,214,18,108,97
78,80,91,84,94,710,709,105,20,18,19,21,96,97
78,80,92,104,93,737,105,709,710,86,19,18,108,97
78,80,91,104,297,298,389,699,737,105,20,18,108,97
78,80,91,104,297,298,389,699,736,106,20,18,108,97
78,90,92,80,91,84,94,710,709,105,20,18,108,97
78,77,79,81,83,741,94,710,709,105,20,18,108,97
78,80,91,104,297,298,389,699,736,106,214,390,107,97
78,80,91,84,94,710,709,105,20,95,86,19,21,96,97
78,80,91,84,94,710,709,105,20,18,19,21,108,97
78,80,92,104,91,84,94,710,86,95,20,18,108,97
78,80,91,104,297,298,389,699,736,106,214,390,108,97
78,80,91,104,297,298,389,561,93,737,105,20,18,108,97
78,80,91,84,94,710,709,105,20,106,214,18,108,97
78,90,92,104,93,737,105,709,95,86,19,21,96,97
78,80,91,84,94,710,709,105,20,95,86,19,21,108,97
78,80,92,104,93,737,105,709,710,86,95,20,18,108,97
78,80,79,81,91,84,94,710,709,105,20,18,108,97
78,80,91,84,94,710,709,105,20,95,86,19,18,108,97
78,80,91,84,94,710,709,105,20,18,108,390,107,97
78,80,92,104,91,84,93,737,105,20,18,108,97
78,80,91,104,93,84,94,710,709,105,20,18,108,97
78,80,91,84,94,710,709,105,20,106,214,390,107,97
78,90,92,104,93,737,105,709,95,86,19,21,108,97
78,80,91,84,94,710,709,105,20,18,214,390,107,97
78,80,91,84,94,710,709,105,20,106,214,390,108,97
78,90,92,104,93,737,105,709,95,86,19,18,108,97
78,80,91,84,94,710,709,105,20,18,214,390,108,97
78,80,79,81,83,84,94,710,709,105,20,18,108,97
78,80,92,104,297,298,389,699,736,106,214,18,108,97
78,80,91,81,83,84,94,710,709,105,20,18,108,97
78,80,92,104,297,298,389,699,737,105,20,18,108,97
78,80,92,104,297,298,389,699,736,106,20,18,108,97
78,80,92,104,297,298,389,699,736,106,214,390,107,97
78,80,91,84,83,741,94,710,709,105,20,18,108,97
78,80,92,104,297,298,389,699,736,106,214,390,108,97
78,80,92,104,297,298,389,561,93,737,105,20,18,108,97
78,80,79,81,83,741,94,710,709,105,20,18,108,97
78,80,91,81,83,741,94,710,709,105,20,18,108,97
78,80,91,104,93,737,105,709,95,86,19,21,96,97
78,80,92,104,93,84,94,710,709,105,20,18,108,97
78,80,91,104,93,737,105,709,95,86,19,21,108,97
78,80,91,104,93,737,105,709,95,86,19,18,108,97
78,77,79,80,91,84,94,710,709,95,20,18,108,97
78,80,91,84,93,737,105,709,95,86,19,21,96,97
78,80,92,104,91,84,94,710,709,105,20,18,108,97
78,77,79,81,91,84,94,710,709,95,20,18,108,97
78,80,91,84,93,737,105,709,95,86,19,21,108,97
78,80,91,84,93,737,105,709,95,86,19,18,108,97
78,90,92,104,93,84,94,710,709,95,20,18,108,97
78,77,79,81,83,84,94,710,709,95,20,18,108,97
78,80,91,84,94,710,709,95,20,18,108,21,96,97
78,80,92,104,93,737,105,709,95,86,19,21,96,97
78,90,92,104,91,84,94,710,709,95,20,18,108,97
78,80,92,104,93,737,105,709,95,86,19,21,108,97
78,80,91,84,94,710,709,95,20,18,19,21,96,97
78,80,92,104,93,737,105,709,95,86,19,18,108,97
78,90,92,80,91,84,94,710,709,95,20,18,108,97
78,77,79,81,83,741,94,710,709,95,20,18,108,97
78,80,91,84,94,710,709,95,20,18,19,21,108,97
78,77,79,81,83,741,87,85,22,636,504,666,505,503,98,96,97
78,80,91,84,94,710,709,95,20,106,214,18,108,97
78,80,79,81,91,84,94,710,709,95,20,18,108,97
78,80,91,84,94,710,709,95,20,18,108,390,107,97
78,80,91,104,93,84,94,710,709,95,20,18,108,97
78,80,91,84,94,710,709,95,20,106,214,390,107,97
78,80,91,84,94,710,709,95,20,18,214,390,107,97
78,80,91,84,94,710,709,95,20,106,214,390,108,97
78,80,91,84,94,710,709,95,20,18,214,390,108,97
78,80,91,84,94,741,87,85,22,636,504,666,505,503,98,96,97
78,80,79,81,83,84,94,710,709,95,20,18,108,97
78,80,91,81,83,84,94,710,709,95,20,18,108,97
78,80,91,84,83,741,94,710,709,95,20,18,108,97
78,80,91,84,94,710,86,85,22,636,504,666,505,503,98,96,97
78,80,91,84,94,710,86,19,21,636,504,666,505,503,98,96,97
78,80,91,84,83,741,87,85,22,636,504,666,505,503,98,96,97
78,80,79,81,83,741,94,710,709,95,20,18,108,97
78,80,91,81,83,741,94,710,709,95,20,18,108,97
78,80,91,84,94,710,86,19,21,108,18,214,390,107,97
78,80,92,104,93,84,94,710,709,95,20,18,108,97
78,77,79,81,83,741,87,85,22,636,21,19,18,108,97
78,80,91,84,94,710,86,19,22,636,504,666,505,503,98,96,97
78,80,79,81,83,741,87,85,22,636,504,666,505,503,98,96,97
78,80,91,81,83,741,87,85,22,636,504,666,505,503,98,96,97
78,80,91,84,94,741,87,85,22,636,21,19,18,108,97
78,80,92,104,91,84,94,710,709,95,20,18,108,97
78,90,92,104,93,298,389,699,736,106,214,18,108,97
78,90,92,104,93,298,389,699,737,105,20,18,108,97
78,90,92,104,93,298,389,699,736,106,20,18,108,97
78,90,92,104,93,298,389,699,736,106,214,390,107,97
78,80,91,84,94,710,86,85,22,636,21,19,18,108,97
78,90,92,104,93,298,389,699,736,106,214,390,108,97
78,80,91,84,83,741,87,85,22,636,21,19,18,108,97
78,80,79,81,83,741,87,85,22,636,21,19,18,108,97
78,80,91,81,83,741,87,85,22,636,21,19,18,108,97
78,80,91,104,93,298,389,699,736,106,214,18,108,97
78,80,91,104,93,298,389,699,737,105,20,18,108,97
78,80,91,104,93,298,389,699,736,106,20,18,108,97
78,80,91,104,93,298,389,699,736,106,214,390,107,97
78,80,91,104,93,298,389,699,736,106,214,390,108,97
78,80,91,84,93,298,389,699,736,106,214,18,108,97
78,80,91,84,93,298,389,699,737,105,20,18,108,97
78,80,91,84,93,298,389,699,736,106,20,18,108,97
78,80,91,84,93,298,389,699,736,106,214,390,107,97
78,80,91,84,93,298,389,699,736,106,214,390,108,97
78,80,92,104,93,298,389,699,736,106,214,18,108,97
78,80,92,104,93,298,389,699,737,105,20,18,108,97
78,80,92,104,93,298,389,699,736,106,20,18,108,97
78,80,92,104,93,298,389,699,736,106,214,390,107,97
78,80,92,104,93,298,389,699,736,106,214,390,108,97
78,80,91,84,94,710,709,105,737,699,736,106,214,18,108,97
78,80,91,84,94,710,709,105,737,699,736,106,20,18,108,97
78,80,91,84,94,710,709,105,737,699,736,106,214,390,107,97
78,80,91,84,94,710,709,105,737,699,736,106,214,390,108,97
78,90,92,103,297,298,93,737,105,709,95,20,18,108,97
78,90,102,103,297,298,93,737,105,709,95,20,18,108,97
78,90,92,104,297,298,93,737,105,709,95,20,18,108,97
78,80,92,103,297,298,93,737,105,709,95,20,18,108,97
78,80,91,84,94,710,709,95,86,85,22,636,504,503,98,96,97
78,80,91,84,94,710,709,95,86,19,21,636,504,503,98,96,97
78,80,91,104,297,298,93,737,105,709,95,20,18,108,97
78,80,91,84,94,710,709,95,86,19,22,636,504,503,98,96,97
78,80,92,104,297,298,93,737,105,709,95,20,18,108,97
78,89,101,90,92,104,93,737,105,709,95,20,18,108,97
78,90,92,104,93,737,105,709,95,20,18,108,21,96,97
78,90,92,103,297,104,93,737,105,709,95,20,18,108,97
78,90,92,104,93,737,105,709,95,20,18,19,21,96,97
78,77,79,80,91,104,93,737,105,709,95,20,18,108,97
78,90,102,103,92,104,93,737,105,709,95,20,18,108,97
78,90,92,104,93,737,105,709,95,20,18,19,21,108,97
78,77,79,81,91,104,93,737,105,709,95,20,18,108,97
78,90,92,104,93,737,105,709,95,20,106,214,18,108,97
78,90,92,103,297,298,389,699,737,105,709,95,20,18,108,97
78,77,79,80,91,84,94,710,709,95,86,19,21,96,97
78,90,92,104,93,737,105,709,95,20,18,108,390,107,97
78,90,92,104,93,737,105,709,95,20,106,214,390,107,97
78,77,79,80,91,84,93,737,105,709,95,20,18,108,97
78,90,92,104,93,737,105,709,95,20,18,214,390,107,97
78,77,79,81,91,84,94,710,709,95,86,19,21,96,97
78,90,92,104,93,561,389,699,737,105,709,95,20,18,108,97
78,90,92,104,93,737,105,709,95,20,106,214,390,108,97
78,90,102,103,297,104,93,737,105,709,95,20,18,108,97
78,77,79,80,91,84,94,710,709,95,86,19,21,108,97
78,90,92,103,297,298,389,561,93,737,105,709,95,20,18,108,97
78,90,92,104,93,737,105,709,95,20,18,214,390,108,97
78,77,79,81,91,84,93,737,105,709,95,20,18,108,97
78,80,91,104,93,737,105,709,95,20,18,108,21,96,97
78,77,79,80,91,84,94,710,709,95,86,19,18,108,97
78,77,79,81,91,84,94,710,709,95,86,19,21,108,97
78,90,92,104,93,84,94,710,709,95,86,19,21,96,97
78,77,79,81,91,84,94,710,709,95,86,19,18,108,97
78,77,79,81,83,84,94,710,709,95,86,19,21,96,97
78,80,91,104,93,737,105,709,95,20,18,19,21,96,97
78,90,92,104,93,84,94,710,709,95,86,19,21,108,97
78,77,79,80,92,104,93,737,105,709,95,20,18,108,97
78,77,79,81,83,84,93,737,105,709,95,20,18,108,97
78,90,92,104,93,84,94,710,709,95,86,19,18,108,97
78,80,91,84,93,737,105,709,95,20,18,108,21,96,97
78,90,92,80,91,104,93,737,105,709,95,20,18,108,97
78,77,79,81,83,84,94,710,709,95,86,19,21,108,97
78,80,91,104,93,737,105,709,95,20,18,19,21,108,97
78,90,92,104,91,84,94,710,709,95,86,19,21,96,97
78,77,79,81,83,84,94,710,709,95,86,19,18,108,97
78,80,91,84,94,710,709,95,86,19,18,108,21,96,97
78,90,92,104,91,84,93,737,105,709,95,20,18,108,97
78,90,102,103,297,298,389,699,737,105,709,95,20,18,108,97
78,80,91,104,93,737,105,709,95,20,106,214,18,108,97
78,80,91,84,93,737,105,709,95,20,18,19,21,96,97
78,90,92,104,91,84,94,710,709,95,86,19,21,108,97
78,90,92,80,91,84,94,710,709,95,86,19,21,96,97
78,77,79,81,83,741,94,710,709,95,86,19,21,96,97
78,80,79,81,91,104,93,737,105,709,95,20,18,108,97
78,90,92,104,91,84,94,710,709,95,86,19,18,108,97
78,80,91,104,93,737,105,709,95,20,18,108,390,107,97
78,90,92,80,91,84,93,737,105,709,95,20,18,108,97
78,80,91,104,93,737,105,709,95,20,106,214,390,107,97
78,90,102,103,297,298,389,561,93,737,105,709,95,20,18,108,97
78,80,91,104,93,737,105,709,95,20,18,214,390,107,97
78,80,91,84,93,737,105,709,95,20,18,19,21,108,97
78,80,91,104,93,561,389,699,737,105,709,95,20,18,108,97
78,80,92,104,93,737,105,709,95,20,18,108,21,96,97
78,80,91,104,93,737,105,709,95,20,106,214,390,108,97
78,90,92,80,91,84,94,710,709,95,86,19,21,108,97
78,77,79,81,83,741,94,710,709,95,86,19,21,108,97
78,80,92,103,297,104,93,737,105,709,95,20,18,108,97
78,80,91,104,93,737,105,709,95,20,18,214,390,108,97
78,90,92,80,91,84,94,710,709,95,86,19,18,108,97
78,77,79,81,83,741,94,710,709,95,86,19,18,108,97
78,80,79,81,91,84,94,710,709,95,86,19,21,96,97
78,80,91,84,94,710,709,95,86,85,22,19,21,96,97
78,80,91,84,93,737,105,709,95,20,106,214,18,108,97
78,90,92,104,297,298,389,699,737,105,709,95,20,18,108,97
78,80,91,104,93,84,94,710,709,95,86,19,21,96,97
78,80,79,81,91,84,93,737,105,709,95,20,18,108,97
78,80,92,104,93,737,105,709,95,20,18,19,21,96,97
78,80,91,84,93,737,105,709,95,20,18,108,390,107,97
